review_text,score
"I am so shocked that I have to write this, but it's based on THIS location and not the other location I I went to. We order doordash (pretty simple, right) 2 fried chicken meals (one with white meat mash potatoes/green beans) and the other a spicy fried chicken meal (Dark meat, Mac and cheese with collard greens). Nothing crazy or complicated.When it arrived, it was cold, with overcooked chicken that was not even correct. My meal didn't even have collard greens, and the mac/cheese was pathetic. Our chicken was atrocious, and we couldn't even east it. Doordarshan gave us credit, and this meal was not cheap either (nearly 90 bucks)I will not be going to this location. Don't let that 4 star rating fool you.",1
"DO NOT BE MISLED BY THEIR REVIEW RATING--CONSIDER THIS A WARNING.As someone that's enjoyed the experiences at the Tysons location, the service we experienced today at this DC location was well below acceptable standards. For a restaurant with such strong reviews, the level of service was shockingly poor. The food was mediocre at its best, delayed significantly. We had to ask for our appetizer, which came without utensils or napkins--another 10 minutes until we had to request them from another staff.  A noticeable lack of attentiveness from the server, who didn't check on us or refill our water, despite our glasses being empty for some time. No syrup with pancakes until we had to wait for the server to walk by and stop the server to remind him. Two tables behind and front of us that were seated after us were served well before us. The overall experience was far from what I've come to expect. While the place was busy, that doesn't excuse the poor service. The entire experience left such a bad taste, particularly given the circumstances of hosting a farewell. This was a disappointing visit and not reflective of the standard one should expect from a restaurant with such reviews.",1
"Abusive pricing system, overworked and not enough staff, tables stacked up against each other, screaming babies, bad food. The great: the wait is long, the place was packed, the farm to table sales pitch was top notch. People want to be here. The good: nice bathrooms, good candy packages to go. Good water bottle so you can refill your own glass. The cornbread is very corny, obviously homemade and good. I recommend it. The average: the beer list was underwhelming and the beers on tap are rated very low on untapped.The poor: the wait staff is so overwhelmed and overworked they can't ask you how your food or drink is. If you have a problem good luck. I had to waive down a waiter when the family next to me broke a glass on the table. The tables are jammed so close together the staff has to be fairly acrobatic to get around and too few of them. The restaurant doesn't care cause $$$The terrible. Where to begin. You should not leave a place hungry but here we are. Food was nuclear  (spicy), could not touch it, left food uneaten, pushed my salad around a bit. My old fashioned bourbon drink was a sugary mess couldn't go further than a sip. It should have some taste other than sugar.  Maybe there should be a general warning to northern yankees?   I didn't complain about food or drink, so that's on me, but honestly staff has no time and didn't ask why my dinner and drink were full.  They don't even ask ""how did you like it"" but again they are carrying massive loads all the time. We gave a bit more than 20% tip. Poor guy earned it. The ""cover your eyes"": the pricing. A 5% surtax for workers mental health, a 12% sales tax, those two combined are nearly 20% of the bill. Then a 20% tip on the food and on those 2 items. Let's distribute the nearly 40% on the prices. Small Glass of wine $24 (how much was the larger glass version) cornbread $16, the 4 very small shrimp added to salad $13.  Can they just list the actual price and be done with the +5%+12%+20% formula, shouldn't be a math class.",1
"One of the most overrated (if not the most overrated) restaurants in Washington, D.C., and has been for years. I have been here a few times over the years and the food has not been top-notch since at least 2011. I recently went with some colleagues for a weekday lunch and was once again disappointed. We had an 11:30 reservation, intentionally scheduled before the lunch rush. While our party was immediately seated and we were able to quickly order drinks, our server did not return to our table for over 15 minutes, even though the restaurant was half empty. After we finally flagged our server and put in our orders, the food took over 15 minutes to come. Once we got the food, it was extremely mediocre. I started with a cup of coffee, which was weak and rather tasteless-it was only a step or two up from airplane coffee. I drink my coffee black and I expect that a restaurant of this caliber could make a cup of coffee that does not need cream and sugar to taste good; needless to say they did not.I got the fried chicken and waffles for my main dish and it left much to be desired. The only good part of the dish was the breast meat, which was juicy. Otherwise, the gravy was tasteless and added nothing, the syrup tasted artificial, the waffle was something that I would get at a budget hotel breakfast, and the butter was slathered over the waffle, rather than in a carafe where I could spread it myself. For dessert, our group shared some chocolate cake, which was dry and flavorless other than the icing. It did not even taste store-bought; store-bought is better.If you are going to try one of the restaurants in this group, I recommend Farmers and Distillers. If you want to have lunch in Foggy Bottom, go to one of the casual places at 20th St and I St NW.",1
"This review is for food only as I ordered takeout. I was so excited because the menu looks terrific. I had the fried chicken which had absolutely zero flavor. Zero taste. It was cooked just fine but with no seasoning or flavor. The macaroni and cheese was lacking flavor as well and the mashed potatoes were OK at best but was missing gravy.                   The fried okra would've been good. It was cooked well but again no seasoning at all. The chef needs to use some seasoned salt or garlic salt or something anything. The peanut butter pie was a joke. I expected a peanut butter mousse made with, sweetened condensed milk, whipped cream, etc. with peanut butter but instead it was only peanut butter itself. It was awful to say the least. Got to say thumbs down. Terrific menu, awful execution.",1
"By far one of the most traumatic eating experiences. Everything was fine untill I started eating my meal and I realized the texture of the chicken was off. I had asked myself, is this cooked? Unfortunately  to my surprise it was not, the chicken was pink. I called my waiter over and asked for it to be sent back. Lo and behold the second meal that came back was still not fully cocked. Completely ruined my night. I don't know if it was because it was close to closing and the kitchen was over it but it sure seemed like it. I spoke to the manager and she acknowledged that the chicken was not cooked and comped the bill. I didn't feel  think they took it very seriously considering you know salmonella and all... This use to be one of my favorite food chain but since this happened I haven't been able to go back. My friend order pasta and I guess it was slightly underdone so she got fried rice instead which I had a taste of and it was pretty good.",1
"One of the worst lunches we had during this vacation, if not the worst. It started off well, the hostess greeted us kindly and we were sat quickly. However, our server that came (didn't introduce herself so not sure what her name is) came with dirty water cups. We couldn't get clean cups until we were half way through our entrees because our server never came to check on us. When we got too thirsty, we asked the hostess, who said she couldn't leave the host stand and told us to wait for our server or another staff.The food was also terribly mediocre. I ordered the fried chicken with waffles and my sister ordered an avocado toast. The chicken was too salty, the green beans were tasteless/no seasoning, and the avocado toast was also too salty. We had chips and dips as appetizer which was the best dish out of the three. The only downside was the extra salsa came after we finished the chips. The lady manager with glasses was very sweet, though. She only came at the very end when we were leaving but her kind remarks improved the ending of this highly disappointing lunch. Overall, we had high expectations from all the great reviews and the recommendations from the blogs. We left unhappy with our choice and will not be coming back.",1
"We planned to have Christmas dinner here.  We booked reservations for 5:15 pm.  Arrived at 4:45 pm and upon our arrival, the line to check in was long.  We check in and were told a 30 min to 1 hour wait from our reservation time, not 4:45 pm.  We were told they overbooked and when you  we went to the Open Table app, they were still taking reservations for 5:30 pm.  We confirmed our reservation via phone (see screenshot of voicemail) and called to confirm. I am not sure who is managing, though I sure overbooking is good to compensate for those who do not show up but this is awful.  Then being charged $20 to hold when booking, well SMDH.  I can say, they made our first Christmas away from home a memorable one.....but we found a restaurant who met...far exceeded our expectations and recommend Toryumon Japanese Restaurant",1
"DO NOT ORDER THEM THROUGH UBER EATS!! I guess they feel, ""you'll get what I send you""! I got my fried chicken salad and guess what was in the container...LETTUCE, ONE tomato HALF and chicken! REALLY?! Thank goodness I had salad dressing, onions and everything else that SHOULD HAVE BEEN in the salad! Maybe that was the universe telling me next I have the stuff at home just make it myself?! If they didn't have the ingredients, a call would've been nice and I would have had the opportunity to choose a replacement! Just TERRIBLE!",1
"The Southern Chicken salad and the fried shrimp are absolutely divine. Their almond chocolate bar is scrumpdillyumptious (if you're lucky to snag one...they sell out FAST)! Shrimp rolls are super yummy too! ONLY ONE thing that I got and didn't care for were the shrimp dumplings! My taste buds just didn't ""get it""!Customer service and ambiance are amazing and this is one of my go to spots! I am sure you will enjoy them as much as I do!! Enjoy!",1
